outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"B2i_Collège Col1.1 :: 1.1) Je sais m'identifier sur un réseau ou un site et (...)";Col1.1;"1.1) Je sais m'identifier sur un réseau ou un site et mettre fin à cette identification.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col1.2 :: 1.2) Je sais accéder aux logiciels et aux documents (...)";Col1.2;"1.2) Je sais accéder aux logiciels et aux documents disponibles à partir de mon espace de travail.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col1.3 :: 1.3) Je sais organiser mes espaces de stockage.";Col1.3;"1.3) Je sais organiser mes espaces de stockage.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col1.4 :: 1.4) Je sais lire les propriétés d'un fichier : nom, (...)";Col1.4;"1.4) Je sais lire les propriétés d'un fichier : nom, format, taille, dates de création et de dernière modification.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col1.5 :: 1.5) Je sais paramétrer l'impression (prévisualisation, (...)";Col1.5;"1.5) Je sais paramétrer l'impression (prévisualisation, quantité, partie de documents...).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col1.6 :: 1.6) Je sais faire un autre choix que celui proposé par (...)";Col1.6;"1.6) Je sais faire un autre choix que celui proposé par défaut (lieu d'enregistrement, format, imprimante).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col2.1 :: 2.1) Je connais les droits et devoirs indiqués dans la (...)";Col2.1;"2.1) Je connais les droits et devoirs indiqués dans la charte d'usage des TIC et la procédure d'alerte de mon établissement.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col2.2 :: 2.2) Je protège ma vie privée en ne donnant sur internet (...)";Col2.2;"2.2) Je protège ma vie privée en ne donnant sur internet des renseignements me concernant qu'avec l'accord de mon responsable légal.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col2.3 :: 2.3) Lorsque j'utilise ou transmets des documents, je (...)";Col2.3;"2.3) Lorsque j'utilise ou transmets des documents, je vérifie que j'en ai le droit.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col2.4 :: 2.4) Je m'interroge sur les résultats des traitements (...)";Col2.4;"2.4) Je m'interroge sur les résultats des traitements informatiques (calcul, représentation graphique, correcteur...).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col2.5 :: 2.5) J'applique des règles de prudence contre les risques (...)";Col2.5;"2.5) J'applique des règles de prudence contre les risques de malveillance (virus, spam...).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col2.6 :: 2.6) Je sécurise mes données (gestion des mots de passe, (...)";Col2.6;"2.6) Je sécurise mes données (gestion des mots de passe, fermeture de session, sauvegarde).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col2.7 :: 2.7) Je mets mes compétences informatiques au service (...)";Col2.7;"2.7) Je mets mes compétences informatiques au service d'une production collective";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col3.1 :: 3.1) Je sais modifier la mise en forme des caractères et (...)";Col3.1;"3.1) Je sais modifier la mise en forme des caractères et des paragraphes, paginer automatiquement.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col3.2 :: 3.2) Je sais utiliser l'outil de recherche et de (...)";Col3.2;"3.2) Je sais utiliser l'outil de recherche et de remplacement dans un document.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col3.3 :: 3.3) Je sais regrouper dans un même document plusieurs (...)";Col3.3;"3.3) Je sais regrouper dans un même document plusieurs éléments (texte, image, tableau, son, graphique, vidéo...).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col3.4 :: 3.4) Je sais créer, modifier une feuille de calcul, (...)";Col3.4;"3.4) Je sais créer, modifier une feuille de calcul, insérer une formule.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col3.5 :: 3.5) Je sais réaliser un graphique de type donné.";Col3.5;"3.5) Je sais réaliser un graphique de type donné.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col3.6 :: 3.6) Je sais utiliser un outil de simulation (ou de (...)";Col3.6;"3.6) Je sais utiliser un outil de simulation (ou de modélisation) en étant conscient de ses limites.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col3.7 :: 3.7) Je sais traiter un fichier image ou son à l'aide d'un (...)";Col3.7;"3.7) Je sais traiter un fichier image ou son à l'aide d'un logiciel dédié notamment pour modifier ses propriétés élémentaires.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col4.1 :: 4.1) Je sais rechercher des références de documents à (...)";Col4.1;"4.1) Je sais rechercher des références de documents à l'aide du logiciel documentaire présent au CDI.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col4.2 :: 4.2) Je sais utiliser les fonctions principales d'un (...)";Col4.2;"4.2) Je sais utiliser les fonctions principales d'un logiciel de navigation sur le web (paramétrage, gestion des favoris, gestion des affichages et de l'impression).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col4.3 :: 4.3) je sais utiliser les fonctions principales d'un outil (...)";Col4.3;"4.3) je sais utiliser les fonctions principales d'un outil de recherche sur le web (moteur de recherche, annuaire...).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col4.4 :: 4.4) Je sais relever des éléments me permettant de (...)";Col4.4;"4.4) Je sais relever des éléments me permettant de connaître l'origine de l'information (auteur, date, source...).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col4.5 :: 4.5) Je sais sélectionner des résultats lors d'une (...)";Col4.5;"4.5) Je sais sélectionner des résultats lors d'une recherche (et donner des arguments permettant de justifier mon choix).";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col5.1 :: 5.1) Lorsque j'envoie ou je publie des informations, je (...)";Col5.1;"5.1) Lorsque j'envoie ou je publie des informations, je réfléchis aux lecteurs possibles en fonction de l'outil utilisé.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col5.2 :: 5.2) Je sais ouvrir et enregistrer un fichier joint à un (...)";Col5.2;"5.2) Je sais ouvrir et enregistrer un fichier joint à un message ou à une publication.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col5.3 :: 5.3) : Je sais envoyer ou publier un message avec un (...)";Col5.3;"5.3) : Je sais envoyer ou publier un message avec un fichier joint.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
"B2i_Collège Col5.4 :: 5.4) Je sais utiliser un carnet d'adresses ou un annuaire (...)";Col5.4;"5.4) Je sais utiliser un carnet d'adresses ou un annuaire pour choisir un destinataire.";Competences;"NA, ECA, PA, A";"NA : Non acquisECA : En cours d'acquisitionPA : Presque (...)"
