outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"B2i Ecole Eco_1.1 :: Je sais désigner et nommer les principaux éléments (...)";Eco_1.1;"Je sais désigner et nommer les principaux éléments composant l équipement informatique que j utilise et je sais à quoi ils servent.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_1.2 :: 1.2) Je sais allumer et éteindre l équipement informatique";Eco_1.2;"1.2) Je sais allumer et éteindre l équipement informatique";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_1.3 :: Je sais déplacer le pointeur, placer le curseur, (...)";Eco_1.3;"Je sais déplacer le pointeur, placer le curseur, sélectionner, effacer et valider.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_1.4 :: Je sais accéder à un dossier, ouvrir et enregistrer un (...)";Eco_1.4;"Je sais accéder à un dossier, ouvrir et enregistrer un fichier.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_2.1 :: Je connais les droits et devoirs indiqués dans la charte (...)";Eco_2.1;"Je connais les droits et devoirs indiqués dans la charte dâusage des TIC de mon école.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_2.2 :: Je respecte les autres et je me protège moi-même dans le (...)";Eco_2.2;"Je respecte les autres et je me protège moi-même dans le cadre de la communication et de la publication électroniques.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_2.3 :: Si je souhaite récupérer un document, je vérifie que j (...)";Eco_2.3;"Si je souhaite récupérer un document, je vérifie que j ai le droit de l utiliser et à quelles conditions.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_2.4 :: Je trouve des indices avant d’accorder ma confiance aux (...)";Eco_2.4;"Je trouve des indices avant d’accorder ma confiance aux informations et propositions que la machine me fournit.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_3.1 :: Je sais produire et modifier un texte, une image ou un son.";Eco_3.1;"Je sais produire et modifier un texte, une image ou un son.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_3.2 :: Je sais saisir les caractères en minuscules, en (...)";Eco_3.2;"Je sais saisir les caractères en minuscules, en majuscules, les différentes lettres accentuées et les signes de ponctuation.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_3.3 :: Je sais modifier la mise en forme des caractères et des (...)";Eco_3.3;"Je sais modifier la mise en forme des caractères et des paragraphes.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_3.4 :: Je sais utiliser les fonctions copier, couper, coller, (...)";Eco_3.4;"Je sais utiliser les fonctions copier, couper, coller, insérer, glisser, déposer.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_3.5 :: Je sais regrouper dans un même document du texte ou des (...)";Eco_3.5;"Je sais regrouper dans un même document du texte ou des images ou du son.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_3.6 :: Je sais imprimer un document.";Eco_3.6;"Je sais imprimer un document.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_4.1 :: 4.1) Je sais utiliser les fenêtres, ascenseurs, boutons de (...)";Eco_4.1;"4.1) Je sais utiliser les fenêtres, ascenseurs, boutons de défilement, liens, listes déroulantes, icônes et onglets.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_4.2 :: 4.2) Je sais repérer les informations affichées à l (...)";Eco_4.2;"4.2) Je sais repérer les informations affichées à l écran.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_4.3 :: 4.3) Je sais saisir une adresse internet et naviguer dans (...)";Eco_4.3;"4.3) Je sais saisir une adresse internet et naviguer dans un site.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_4.4 :: 4.4) Je sais utiliser un mot-clé ou un menu pour faire une (...)";Eco_4.4;"4.4) Je sais utiliser un mot-clé ou un menu pour faire une recherche.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_5.1 :: 5.1) Je sais envoyer et recevoir un message.";Eco_5.1;"5.1) Je sais envoyer et recevoir un message.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_5.2 :: 5.2) Je sais dire de qui provient un message et à qui il (...)";Eco_5.2;"5.2) Je sais dire de qui provient un message et à qui il est adressé.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_5.3 :: 5.3) Je sais trouver le sujet d’un message.";Eco_5.3;"5.3) Je sais trouver le sujet d’un message.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i Ecole Eco_5.4 :: 5.4) Je sais trouver la date d envoi d un message.";Eco_5.4;"5.4) Je sais trouver la date d envoi d un message.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
